symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
6873,泓德能源-創,527110,276,83057380,158.0,159.0,156.0,156.5,-,2.0,156.50,2,158.00,10,19.2,,,,,,,,,
6874,倍力,58956,149,6934386,119.5,119.5,116.5,118.5,,0.0,117.5,3,118.5,4,29.12,117.62,"22,000,000",118.5,130.0,107.0,3.8,112.0,3.21,5.36
6875,國邑*,1764631,1338,141963533,83.3,83.3,79.5,80.0,,-3.1,80.0,15,80.2,3,1142.86,80.45,"129,018,004",80.0,9995.0,0.01,0.0,112.0,0.0,8.24
6877,鏵友益,56531,78,1988198,35.35,35.35,35.1,35.15,,-0.15,35.1,1,35.25,6,,35.17,"34,088,000",35.15,38.65,31.65,0.0,112.0,0.0,2.12
6894,衛司特,47322,78,10011386,211.5,213.0,210.5,211.0,,0.0,210.0,7,211.0,1,26.84,211.56,"23,800,000",211.0,232.0,190.0,6.5,112.0,3.08,3.55
6895,宏碩系統,28020,29,2882569,103.0,103.5,102.0,103.0,,0.0,102.5,2,103.5,1,38.15,102.88,"34,100,000",103.0,113.0,92.7,2.2,112.0,2.14,3.48
6899,,,,,,,,,,,,,,,,,,,,,,,,
6901,鑽石投資,831983,606,35062778,42.65,42.65,41.9,41.9,-,0.4,41.90,56,42.00,11,0.0,,,,,,,,,
6902,走著瞧-創,10011,12,1513155,151.0,152.0,150.5,150.5,-,3.5,150.00,1,154.50,1,940.62,,,,,,,,,
6904,伯鑫,14221,161,3116218,220.5,221.5,215.0,219.5,,-1.0,215.5,1,220.5,1,21.5,219.13,"18,500,000",219.5,241.0,198.0,4.1,112.0,1.87,4.17
6906,現觀科,51350,131,8691379,169.0,172.0,168.0,168.0, ,0.0,168.00,4,168.50,1,46.67,,,,,,,,,
6916,華凌,30131,26,814787,27.1,27.1,26.95,26.95,-,0.05,26.95,1,27.00,1,22.46,,,,,,,,,
6922,宸曜,15008,17,1788994,121.0,121.0,118.5,118.5,,-0.5,118.5,1,119.0,1,26.27,119.2,"25,609,128",118.5,130.0,107.0,3.57,112.0,3.01,3.54
6929,佑全,664495,556,54559073,84.9,85.0,79.8,79.9,,-3.1,79.9,1,80.0,2,215.95,82.11,"44,270,000",79.9,9995.0,0.01,0.3,112.0,0.38,3.91
6933,AMAX-KY,714344,1080,245683401,338.0,350.0,335.0,346.0,+,18.0,346.00,2,346.50,2,55.18,,,,,,,,,
6937,天虹,85802,103,17696857,206.0,210.0,205.5,206.5,+,0.5,206.50,5,207.00,1,45.48,,,,,,,,,
6949,沛爾生醫-創,207000,87,16573900,77.4,82.0,77.4,81.4,+,3.9,81.30,3,82.00,2,0.0,,,,,,,,,
7402,邑錡,10935444,8144,1308058312,125.0,128.5,114.0,116.5,,-6.5,116.0,6,116.5,105,84.42,119.62,"34,881,769",116.5,128.0,105.0,1.5,112.0,1.29,6.03
7556,意德士,16487,21,2280745,138.0,139.0,136.0,138.5,,2.5,136.5,1,138.5,1,29.41,138.34,"24,054,117",138.5,152.0,125.0,3.0,112.0,2.17,3.69
8011,台通,4647481,2958,111908856,23.8,24.5,23.75,23.75,+,0.1,23.75,15,23.80,8,296.88,,,,,,,,,
8016,矽創,4638485,8802,1364249077,297.5,302.5,291.5,291.5,-,8.5,291.50,105,292.00,2,18.75,,,,,,,,,
8021,尖點,188133,201,5378771,28.65,28.85,28.5,28.6,-,0.1,28.55,2,28.60,5,0.0,,,,,,,,,
8024,佑華,21049,67,433647,20.6,20.65,20.55,20.6,,0.0,20.55,6,20.6,1,,20.6,"45,160,100",20.6,22.65,18.55,0.0,112.0,0.0,1.59
8027,鈦昇,1875013,1600,176094778,91.8,95.6,91.8,93.4,,1.8,93.4,7,93.5,13,291.88,93.92,"99,658,683",93.4,102.5,84.1,0.50085125,112.0,0.54,3.88
8028,昇陽半導體,940748,787,48276174,51.5,51.7,51.1,51.1,-,0.4,51.10,106,51.30,8,28.23,,,,,,,,,
8032,光菱,20285,44,587665,28.75,29.15,28.75,29.15,,0.2,28.9,1,29.35,1,24.7,28.97,"51,810,300",29.15,32.05,26.25,0.8,112.0,2.74,0.83
8033,雷虎,7514950,5601,492070347,66.8,66.9,64.7,65.1,-,3.2,65.00,154,65.10,24,0.0,,,,,,,,,
8034,榮群,927574,750,25485128,27.8,28.05,27.15,27.15,,-0.45,27.15,26,27.2,10,17.98,27.48,"62,873,725",27.15,29.85,24.45,1.2,112.0,4.42,2.25
8038,長園科,132405,174,3961493,30.5,30.5,29.55,30.0,,-0.1,29.75,2,29.85,1,,29.92,"62,874,190",30.0,33.0,27.0,0.0,112.0,0.0,3.75
8039,台虹,383572,364,17730123,46.55,46.55,46.05,46.15,-,0.45,46.15,18,46.20,6,22.85,,,,,,,,,
8040,九暘,7981119,6066,657967765,80.0,86.9,78.1,82.1,,0.9,82.1,45,82.2,30,,82.44,"68,850,074",82.1,90.3,73.9,0.0,112.0,0.0,8.28
8042,金山電,19013,170,674850,35.65,35.65,35.35,35.35,,-0.35,35.3,1,35.4,1,49.1,35.49,"129,462,549",35.35,38.85,31.85,1.5,111.0,4.24,1.19
